"column_name","dtype","total_rows","missing_count","missing_pct","unique_count","is_critical","zone","dataset_name","execution_date"
"lzone","string","628253","628162","99.99","3","false","bronze","LFA1","2026-03-13"
"xlfza","boolean","628253","0","0.0","2","false","bronze","LFA1","2026-03-13"
"cod_postal_apdo","float64","89615","89615","100.0","0","false","gold","proveedor_360","2026-03-13"
"cod_postal_emp","float64","89615","89615","100.0","0","false","gold","proveedor_360","2026-03-13"
"ktock","string","628253","628253","100.0","0","false","bronze","LFA1","2026-03-13"
"werks","string","628253","628155","99.98","12","false","bronze","LFA1","2026-03-13"
"mc_name1","string","2490793","52050","2.09","239419","false","bronze","ADRC","2026-03-13"
"mc_city1","string","2490793","6354","0.26","1545","false","bronze","ADRC","2026-03-13"
"location","string","2490793","2490733","100.0","8","false","bronze","ADRC","2026-03-13"
"lzone","string","987340","987197","99.99","3","false","bronze","LFA1","2026-03-17"
"xlfza","boolean","987340","0","0.0","2","false","bronze","LFA1","2026-03-17"
"nom2_direccion","object","89615","86968","97.05","1145","false","gold","proveedor_360","2026-03-13"
"cam_text","float64","538370","538370","100.0","0","false","gold","proveedor_por_direcciones","2026-03-13"
"nom3_direccion","object","89615","17734","19.79","24311","false","gold","proveedor_360","2026-03-13"
"nom_co","float64","538370","538370","100.0","0","true","gold","proveedor_por_direcciones","2026-03-13"
"bloq_cont_soc","object","596228","180","0.03","2","false","gold","proveedor_por_sociedad","2026-03-13"
"cta_conta","object","596228","210","0.04","58","false","gold","proveedor_por_sociedad","2026-03-13"
"edificio","float64","538370","538370","100.0","0","false","gold","proveedor_por_direcciones","2026-03-13"
"piso","float64","538370","538370","100.0","0","false","gold","proveedor_por_direcciones","2026-03-13"
"nom1","object","546194","0","0.0","76654","false","gold","proveedor_por_datos_bancarios","2026-03-13"
"ktokk","string","628253","0","0.0","37","false","bronze","LFA1","2026-03-13"
"ref_ban_cta","object","89615","49106","54.8","72","false","gold","proveedor_360","2026-03-13"
"titular_cta","object","89615","49005","54.68","33938","false","gold","proveedor_360","2026-03-13"
"proveedor_id","object","89615","0","0.0","89605","false","gold","proveedor_360","2026-03-13"
"pais_id","object","89615","0","0.0","39","false","gold","proveedor_360","2026-03-13"
"deudor_id","object","546194","342614","62.73","32233","false","gold","proveedor_por_datos_bancarios","2026-03-13"
"fax_ext","object","538370","538190","99.97","19","false","gold","proveedor_por_direcciones","2026-03-13"
"correo","object","538370","0","0.0","2","false","gold","proveedor_por_direcciones","2026-03-13"
"ktokk","string","987340","0","0.0","37","false","bronze","LFA1","2026-03-17"
"ind_borr","object","538370","0","0.0","2","false","gold","proveedor_por_direcciones","2026-03-13"
"bloq_central","object","538370","0","0.0","2","false","gold","proveedor_por_direcciones","2026-03-13"
"tel_extens","string","2490793","2482111","99.65","96","false","bronze","ADRC","2026-03-13"
"sperz","boolean","628253","0","0.0","1","false","bronze","LFA1","2026-03-13"
"zona_trans","object","546194","546116","99.99","3","false","gold","proveedor_por_datos_bancarios","2026-03-13"
"idioma_id","object","546194","0","0.0","5","false","gold","proveedor_por_datos_bancarios","2026-03-13"
"zona_trans","object","538370","538292","99.99","3","false","gold","proveedor_por_direcciones","2026-03-13"
"ind_rec_alt_pgo","object","538370","0","0.0","2","false","gold","proveedor_por_direcciones","2026-03-13"
"ort02","string","987340","987340","100.0","0","false","bronze","LFA1","2026-03-17"
"name1","string","987340","0","0.0","76672","false","bronze","LFA1","2026-03-17"
"spras","string","987340","0","0.0","5","false","bronze","LFA1","2026-03-17"
"lifnr","string","987340","0","0.0","89780","true","bronze","LFA1","2026-03-17"
"bloq_compras","object","596228","0","0.0","2","false","gold","proveedor_por_sociedad","2026-03-13"
"tip_doc","object","596228","132","0.02","9","false","gold","proveedor_por_sociedad","2026-03-13"
"ort02","string","628253","628253","100.0","0","false","bronze","LFA1","2026-03-13"
"erdat","timestamp","628253","0","0.0","4361","false","bronze","LFA1","2026-03-13"
"stcd1","string","628253","154","0.02","78084","false","bronze","LFA1","2026-03-13"
"stcd2","string","628253","628253","100.0","0","false","bronze","LFA1","2026-03-13"
